title|url|path|views|author|publish_date|keywords|channel_id|position|start|end|text
Lorena Aldana - Using Python to listen to your heart|https://www.youtube.com/watch?v=YrCSME1jT6U|PyCon-co audios/audios/Lorena Aldana - Using Python to listen to your heart [YrCSME1jT6U].mp3|200|PyCon Colombia|2021-09-09|[]|UCjor6U0ZF5zGAYLJJt9gr0A|1|0.0|86.32| Música. . Entonces, quisiera comenzar por contarles algo sobre mí. Yo soy docente investigadora de la Universidad de San Bonaventura de Bogotá, particularmente en el programa de ingeniería de sonido. Soy ingeniería de sonido de la misma universidad. Tengo un máster en tecnología de sonido de la música de la Universidad de Pompufa, ahora en España. Y recientemente terminé mi doctorado en la Universidad de Bielefeld, en Alemania. La charla que quiero compartirles hoy está basada en el proyecto que desarrollé durante mi doctorado. Entonces, bueno, vamos a desglosar el título de la charla un poco. Tenemos acá el componente de la palabra heart, el corazón, y quizás ya les indico a ustedes que es probable que haya un componente médico dentro de esta charla. Efectivamente, así es. Hay otra parte que es muy importante que es la
Lorena Aldana - Using Python to listen to your heart|https://www.youtube.com/watch?v=YrCSME1jT6U|PyCon-co audios/audios/Lorena Aldana - Using Python to listen to your heart [YrCSME1jT6U].mp3|200|PyCon Colombia|2021-09-09|[]|UCjor6U0ZF5zGAYLJJt9gr0A|2|86.32|92.6| palabra listen, escuchar y acá de pronto si tienen la posibilidad de escuchar con audígonos la charla,
Lorena Aldana - Using Python to listen to your heart|https://www.youtube.com/watch?v=YrCSME1jT6U|PyCon-co audios/audios/Lorena Aldana - Using Python to listen to your heart [YrCSME1jT6U].mp3|200|PyCon Colombia|2021-09-09|[]|UCjor6U0ZF5zGAYLJJt9gr0A|3|92.6|97.4| se los recomiendo vamos a estar escuchando algunos sonidos también a lo largo de la charla, si no
Lorena Aldana - Using Python to listen to your heart|https://www.youtube.com/watch?v=YrCSME1jT6U|PyCon-co audios/audios/Lorena Aldana - Using Python to listen to your heart [YrCSME1jT6U].mp3|200|PyCon Colombia|2021-09-09|[]|UCjor6U0ZF5zGAYLJJt9gr0A|4|97.4|103.08| tienen audígonos no se preocupen no hay problema, pero pronto para poder tener mejor resolución si
Lorena Aldana - Using Python to listen to your heart|https://www.youtube.com/watch?v=YrCSME1jT6U|PyCon-co audios/audios/Lorena Aldana - Using Python to listen to your heart [YrCSME1jT6U].mp3|200|PyCon Colombia|2021-09-09|[]|UCjor6U0ZF5zGAYLJJt9gr0A|5|103.08|106.36| sería una buena idea, si les, digamos, a la mano.
Lorena Aldana - Using Python to listen to your heart|https://www.youtube.com/watch?v=YrCSME1jT6U|PyCon-co audios/audios/Lorena Aldana - Using Python to listen to your heart [YrCSME1jT6U].mp3|200|PyCon Colombia|2021-09-09|[]|UCjor6U0ZF5zGAYLJJt9gr0A|6|106.36|117.56| Y está por supuesto Python, que es este puente que permite conectar estos dos mundos de la medicina y de cómo podemos utilizar nuestras habilidades de escucha en este contexto.
Lorena Aldana - Using Python to listen to your heart|https://www.youtube.com/watch?v=YrCSME1jT6U|PyCon-co audios/audios/Lorena Aldana - Using Python to listen to your heart [YrCSME1jT6U].mp3|200|PyCon Colombia|2021-09-09|[]|UCjor6U0ZF5zGAYLJJt9gr0A|7|117.56|126.2| Entonces, bueno, para dar una introducción, la idea de utilizar nuestras habilidades de escucha en el diagnóstico médico viene de hace muchísimo tiempo.
Lorena Aldana - Using Python to listen to your heart|https://www.youtube.com/watch?v=YrCSME1jT6U|PyCon-co audios/audios/Lorena Aldana - Using Python to listen to your heart [YrCSME1jT6U].mp3|200|PyCon Colombia|2021-09-09|[]|UCjor6U0ZF5zGAYLJJt9gr0A|8|126.2|132.4| Una de las herramientas más emblemáticas es el estetoscopio. Quizás ustedes han estado en un ámbito médico,
Lorena Aldana - Using Python to listen to your heart|https://www.youtube.com/watch?v=YrCSME1jT6U|PyCon-co audios/audios/Lorena Aldana - Using Python to listen to your heart [YrCSME1jT6U].mp3|200|PyCon Colombia|2021-09-09|[]|UCjor6U0ZF5zGAYLJJt9gr0A|9|132.4|136.32| han tenido la oportunidad de escuchar o al menos haber visto el dispositivo.
Lorena Aldana - Using Python to listen to your heart|https://www.youtube.com/watch?v=YrCSME1jT6U|PyCon-co audios/audios/Lorena Aldana - Using Python to listen to your heart [YrCSME1jT6U].mp3|200|PyCon Colombia|2021-09-09|[]|UCjor6U0ZF5zGAYLJJt9gr0A|10|136.32|187.0| Básicamente con el estetoscopio viene la idea de la ocultación, de poder escuchar los sonidos que produce el cuerpo, con el propósito de generar un diagnóstico. En este momento el estetoscopio funciona más como una herramienta de valoración primaria, pues porque hay un desarrollo tecnológico que permite tener muchos otros herramientas para diagnóstico, pero sin embargo, después de tanto tiempo sigue ahí vigente, porque ese es un componente muy importante en la manera en la que nosotros podemos utilizar nuestras habilidades de escucha en el diagnóstico. Bueno, adicionalmente ahora el desarrollo tecnológico ya no solo nos permite escuchar los sonidos que produce el cuerpo, sino también nos permite transformar otros datos en sonidos con el propósito de entenderlos mejor. Y aquí viene el concepto de sonificación. Básicamente la idea de la sonificación es transformar datos en sonidos con el propósito de transmitir información.
